date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:27:14	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2265020b3f-239b%22	https://themewagon.github.io/robots.txt		(from )
20:27:14	33232/33232	---M-Z	200	added ('OK')	text/html	etag:W/%2263a151b8-81d0%22	https://themewagon.github.io/eduland/	C:/Users/HP1/Documents/Workspace/Battle/templateSchool/themewagon.github.io/eduland/index.html	(from )
20:27:14	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2265020b3f-24a3%22	https://themewagon.github.io/eduland/images/favicon.png	C:/Users/HP1/Documents/Workspace/Battle/templateSchool/themewagon.github.io/eduland/images/favicon.png	(from https://themewagon.github.io/eduland/)
20:27:15	166156/166156	---M-Z	200	added ('OK')	text/css	etag:W/%2263a151b8-2890c%22	https://themewagon.github.io/eduland/css/bootstrap.min.css	C:/Users/HP1/Documents/Workspace/Battle/templateSchool/themewagon.github.io/eduland/css/bootstrap.min.css	(from https://themewagon.github.io/eduland/)
20:27:15	31000/31000	---M-Z	200	added ('OK')	text/css	etag:W/%2263a151b8-7918%22	https://themewagon.github.io/eduland/css/font-awesome.min.css	C:/Users/HP1/Documents/Workspace/Battle/templateSchool/themewagon.github.io/eduland/css/font-awesome.min.css	(from https://themewagon.github.io/eduland/)
20:27:15	3991/3991	---M-Z	200	added ('OK')	text/css	etag:W/%2263a151b8-f97%22	https://themewagon.github.io/eduland/css/niceselect.css	C:/Users/HP1/Documents/Workspace/Battle/templateSchool/themewagon.github.io/eduland/css/niceselect.css	(from https://themewagon.github.io/eduland/)
20:27:15	13706/13706	---M-Z	200	added ('OK')	text/css	etag:W/%2263a151b8-358a%22	https://themewagon.github.io/eduland/css/jquery.fancybox.min.css	C:/Users/HP1/Documents/Workspace/Battle/templateSchool/themewagon.github.io/eduland/css/jquery.fancybox.min.css	(from https://themewagon.github.io/eduland/)
20:27:15	83617/83617	---M-Z	200	added ('OK')	text/css	etag:W/%2263a151b8-146a1%22	https://themewagon.github.io/eduland/css/cube-portfolio.min.css	C:/Users/HP1/Documents/Workspace/Battle/templateSchool/themewagon.github.io/eduland/css/cube-portfolio.min.css	(from https://themewagon.github.io/eduland/)
20:27:16	5854/5854	---M-Z	200	added ('OK')	text/css	etag:W/%2263a151b8-16de%22	https://themewagon.github.io/eduland/css/owl.carousel.min.css	C:/Users/HP1/Documents/Workspace/Battle/templateSchool/themewagon.github.io/eduland/css/owl.carousel.min.css	(from https://themewagon.github.io/eduland/)
20:27:16	16952/16952	---M-Z	200	added ('OK')	text/css	etag:W/%2263a151b8-4238%22	https://themewagon.github.io/eduland/css/animate.min.css	C:/Users/HP1/Documents/Workspace/Battle/templateSchool/themewagon.github.io/eduland/css/animate.min.css	(from https://themewagon.github.io/eduland/)
20:27:16	2235/2235	---M-Z	200	added ('OK')	text/css	etag:W/%2263a151b8-8bb%22	https://themewagon.github.io/eduland/css/slicknav.min.css	C:/Users/HP1/Documents/Workspace/Battle/templateSchool/themewagon.github.io/eduland/css/slicknav.min.css	(from https://themewagon.github.io/eduland/)
20:27:16	6134/6134	---M-Z	200	added ('OK')	text/css	etag:W/%2263a151b8-17f6%22	https://themewagon.github.io/eduland/css/magnific-popup.css	C:/Users/HP1/Documents/Workspace/Battle/templateSchool/themewagon.github.io/eduland/css/magnific-popup.css	(from https://themewagon.github.io/eduland/)
20:27:16	18885/18885	---M-Z	200	added ('OK')	text/css	etag:W/%2263a151b8-49c5%22	https://themewagon.github.io/eduland/css/normalize.css	C:/Users/HP1/Documents/Workspace/Battle/templateSchool/themewagon.github.io/eduland/css/normalize.css	(from https://themewagon.github.io/eduland/)
20:27:17	41948/41948	---M-Z	200	added ('OK')	text/css	etag:W/%2263a151b8-a3dc%22	https://themewagon.github.io/eduland/style.css	C:/Users/HP1/Documents/Workspace/Battle/templateSchool/themewagon.github.io/eduland/style.css	(from https://themewagon.github.io/eduland/)
