date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:17:57	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2003%20Nov%202023%2014:17:59%20GMT	https://edublink.react.devsblink.com/robots.txt		(from )
15:17:57	56129/56129	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Dec%202022%2008:08:49%20GMT	https://edublink.react.devsblink.com/	C:/Users/HP1/Documents/Workspace/Battle/templateSchool/edublink.react.devsblink.com/index.html	(from )
15:17:58	2658/2658	---M-Z	200	added ('OK')	image/x-icon	date:Sun,%2018%20Dec%202022%2008:08:48%20GMT	https://edublink.react.devsblink.com/favicon.ico	C:/Users/HP1/Documents/Workspace/Battle/templateSchool/edublink.react.devsblink.com/favicon.ico	(from https://edublink.react.devsblink.com/)
15:17:59	91460/91460	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2018%20Dec%202022%2008:08:48%20GMT	https://edublink.react.devsblink.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	C:/Users/HP1/Documents/Workspace/Battle/templateSchool/edublink.react.devsblink.com/_next/static/chunks/polyfills-c67a75d1b6f99dc8.js	(from https://edublink.react.devsblink.com/)
15:17:59	879886/879886	---M-Z	200	added ('OK')	text/css	date:Sun,%2018%20Dec%202022%2008:08:48%20GMT	https://edublink.react.devsblink.com/_next/static/css/d71c54f46aa32c51.css	C:/Users/HP1/Documents/Workspace/Battle/templateSchool/edublink.react.devsblink.com/_next/static/css/d71c54f46aa32c51.css	(from https://edublink.react.devsblink.com/)
15:17:59	1700/1700	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2018%20Dec%202022%2008:08:48%20GMT	https://edublink.react.devsblink.com/_next/static/chunks/webpack-2cc6cad633ca8772.js	C:/Users/HP1/Documents/Workspace/Battle/templateSchool/edublink.react.devsblink.com/_next/static/chunks/webpack-2cc6cad633ca8772.js	(from https://edublink.react.devsblink.com/)
15:18:00	141532/141532	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2018%20Dec%202022%2008:08:48%20GMT	https://edublink.react.devsblink.com/_next/static/chunks/framework-3c2b2ea11736477d.js	C:/Users/HP1/Documents/Workspace/Battle/templateSchool/edublink.react.devsblink.com/_next/static/chunks/framework-3c2b2ea11736477d.js	(from https://edublink.react.devsblink.com/)
15:18:00	105205/105205	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2018%20Dec%202022%2008:08:48%20GMT	https://edublink.react.devsblink.com/_next/static/chunks/main-f5e40ac01b356d29.js	C:/Users/HP1/Documents/Workspace/Battle/templateSchool/edublink.react.devsblink.com/_next/static/chunks/main-f5e40ac01b356d29.js	(from https://edublink.react.devsblink.com/)
15:18:00	296316/296316	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2018%20Dec%202022%2008:08:48%20GMT	https://edublink.react.devsblink.com/_next/static/chunks/pages/_app-266e9520d654fc26.js	C:/Users/HP1/Documents/Workspace/Battle/templateSchool/edublink.react.devsblink.com/_next/static/chunks/pages/_app-266e9520d654fc26.js	(from https://edublink.react.devsblink.com/)
15:18:00	5850/5850	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2018%20Dec%202022%2008:08:48%20GMT	https://edublink.react.devsblink.com/_next/static/chunks/1664-5fe238b459685415.js	C:/Users/HP1/Documents/Workspace/Battle/templateSchool/edublink.react.devsblink.com/_next/static/chunks/1664-5fe238b459685415.js	(from https://edublink.react.devsblink.com/)
